"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"10:52:34,7950166","ryuk.exe","4888","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies","NAME NOT FOUND","Length: 24"
"10:52:34,7950284","ryuk.exe","4888","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS",""
"10:52:34,7956417","ryuk.exe","4888","CreateFile","C:\Users\Cuckoo\Downloads","SUCCESS","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"10:52:34,7959178","ryuk.exe","4888","Load Image","C:\Windows\SysWOW64\kernel32.dll","SUCCESS","Image Base: 0x773f0000, Image Size: 0xf0000"
"10:52:34,7962367","ryuk.exe","4888","Load Image","C:\Windows\SysWOW64\KernelBase.dll","SUCCESS","Image Base: 0x758c0000, Image Size: 0x214000"
"10:52:34,7982479","ryuk.exe","4888","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\3c74afb9-8d82-44e3-b52c-365dbf48382a","NAME NOT FOUND","Length: 528"
"10:52:34,7983593","ryuk.exe","4888","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\05f95efe-7f75-49c7-a994-60a55cc09571","NAME NOT FOUND","Length: 528"
"10:52:34,7986474","ryuk.exe","4888","RegOpenKey","HKLM\System\CurrentControlSet\Control\SafeBoot\Option","REPARSE","Desired Access: Query Value, Set Value"
"10:52:34,7986694","ryuk.exe","4888","RegOpenKey","HKLM\System\CurrentControlSet\Control\SafeBoot\Option","NAME NOT FOUND","Desired Access: Query Value, Set Value"
"10:52:34,7986956","ryuk.exe","4888","RegOpenKey","HKLM\System\CurrentControlSet\Control\Srp\GP\DLL","REPARSE","Desired Access: Read"
"10:52:34,7987073","ryuk.exe","4888","RegOpenKey","HKLM\System\CurrentControlSet\Control\Srp\GP\DLL","NAME NOT FOUND","Desired Access: Read"
"10:52:34,7987262","ryuk.exe","4888","RegOpenKey","HKLM\Software\WOW6432Node\Policies\Microsoft\Windows\Safer\CodeIdentifiers","REPARSE","Desired Access: Query Value"
"10:52:34,7987824","ryuk.exe","4888","RegOpenKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\Safer\CodeIdentifiers","SUCCESS","Desired Access: Query Value"
"10:52:34,7988088","ryuk.exe","4888","RegSetInfoKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"10:52:34,7988189","ryuk.exe","4888","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers\TransparentEnabled","NAME NOT FOUND","Length: 80"
"10:52:34,7988339","ryuk.exe","4888","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers","SUCCESS",""
"10:52:34,7988642","ryuk.exe","4888","RegOpenKey","HKCU\Software\Policies\Microsoft\Windows\Safer\CodeIdentifiers","NAME NOT FOUND","Desired Access: Query Value"
"10:52:34,7989020","ryuk.exe","4888","RegOpenKey","HKLM\System\CurrentControlSet\Control\FileSystem\","REPARSE","Desired Access: Read"
"10:52:34,7989137","ryuk.exe","4888","RegOpenKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS","Desired Access: Read"
"10:52:34,7989268","ryuk.exe","4888","RegSetInfoKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"10:52:34,7989355","ryuk.exe","4888","RegQueryValue","HKLM\System\CurrentControlSet\Control\FileSystem\LongPathsEnabled","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"10:52:34,7989490","ryuk.exe","4888","RegCloseKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS",""
"10:52:34,8000726","ryuk.exe","4888","CreateFile","C:\Windows\SysWOW64\apphelp.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"10:52:34,8002838","ryuk.exe","4888","QueryBasicInformationFile","C:\Windows\SysWOW64\apphelp.dll","SUCCESS","CreationTime: 25/04/2022 10:23:38, LastAccessTime: 25/04/2022 10:50:50, LastWriteTime: 25/04/2022 10:23:38, ChangeTime: 25/04/2022 10:39:45, FileAttributes: A"
"10:52:34,8003078","ryuk.exe","4888","CloseFile","C:\Windows\SysWOW64\apphelp.dll","SUCCESS",""
"10:52:34,8005117","ryuk.exe","4888","CreateFile","C:\Windows\SysWOW64\apphelp.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"10:52:34,8005951","ryuk.exe","4888","CreateFileMapping","C:\Windows\SysWOW64\apphelp.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE_READWRITE|PAGE_NOCACHE"
"10:52:34,8007562","ryuk.exe","4888","CreateFileMapping","C:\Windows\SysWOW64\apphelp.dll","SUCCESS","SyncType: SyncTypeOther"
"10:52:34,8009562","ryuk.exe","4888","Load Image","C:\Windows\SysWOW64\apphelp.dll","SUCCESS","Image Base: 0x75490000, Image Size: 0x9f000"
"10:52:34,8013664","ryuk.exe","4888","CloseFile","C:\Windows\SysWOW64\apphelp.dll","SUCCESS",""
"10:52:34,8017755","ryuk.exe","4888","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\8ccca27d-f1d8-4dda-b5dd-339aee937731","NAME NOT FOUND","Length: 528"
"10:52:34,8021973","ryuk.exe","4888","RegOpenKey","HKLM\Software\WOW6432Node\Microsoft\Windows NT\CurrentVersion\AppCompatFlags","SUCCESS","Desired Access: Query Value"
"10:52:34,8022385","ryuk.exe","4888","RegSetInfoKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows NT\CurrentVersion\AppCompatFlags","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"10:52:34,8022617","ryuk.exe","4888","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\LogFlags","NAME NOT FOUND","Length: 20"
"10:52:34,8022836","ryuk.exe","4888","RegCloseKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows NT\CurrentVersion\AppCompatFlags","SUCCESS",""
"10:52:34,8023749","ryuk.exe","4888","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\18608e62-a628-49d9-8c02-55972e097d24","NAME NOT FOUND","Length: 528"
"10:52:34,8025589","ryuk.exe","4888","RegOpenKey","HKLM\Software\WOW6432Node\Microsoft\Windows NT\CurrentVersion\AppCompatFlags","SUCCESS","Desired Access: Query Value"
"10:52:34,8025844","ryuk.exe","4888","RegSetInfoKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows NT\CurrentVersion\AppCompatFlags","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"10:52:34,8025949","ryuk.exe","4888","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\ShowDebugInfo","NAME NOT FOUND","Length: 20"
"10:52:34,8026075","ryuk.exe","4888","RegCloseKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows NT\CurrentVersion\AppCompatFlags","SUCCESS",""
"10:52:34,8028067","ryuk.exe","4888","CreateFile","C:\Users\Cuckoo\Downloads\ryuk.exe","SUCCESS","Desired Access: Read Control, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"10:52:34,8028897","ryuk.exe","4888","QuerySecurityFile","C:\Users\Cuckoo\Downloads\ryuk.exe","BUFFER OVERFLOW","Information: Owner"
"10:52:34,8029076","ryuk.exe","4888","QuerySecurityFile","C:\Users\Cuckoo\Downloads\ryuk.exe","SUCCESS","Information: Owner"
"10:52:34,8029205","ryuk.exe","4888","CloseFile","C:\Users\Cuckoo\Downloads\ryuk.exe","SUCCESS",""
"10:52:34,8030913","ryuk.exe","4888","CreateFile","C:\Windows\SysWOW64\ntdll.dll","SUCCESS","Desired Access: Read Control, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"10:52:34,8031632","ryuk.exe","4888","QuerySecurityFile","C:\Windows\SysWOW64\ntdll.dll","BUFFER OVERFLOW","Information: Owner"
"10:52:34,8031819","ryuk.exe","4888","QuerySecurityFile","C:\Windows\SysWOW64\ntdll.dll","SUCCESS","Information: Owner"
"10:52:34,8031958","ryuk.exe","4888","CloseFile","C:\Windows\SysWOW64\ntdll.dll","SUCCESS",""
"10:52:34,8033199","ryuk.exe","4888","CreateFile","C:\Windows\SysWOW64\kernel32.dll","SUCCESS","Desired Access: Read Control, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"10:52:34,8033791","ryuk.exe","4888","QuerySecurityFile","C:\Windows\SysWOW64\kernel32.dll","BUFFER OVERFLOW","Information: Owner"
"10:52:34,8033916","ryuk.exe","4888","QuerySecurityFile","C:\Windows\SysWOW64\kernel32.dll","SUCCESS","Information: Owner"
"10:52:34,8034035","ryuk.exe","4888","CloseFile","C:\Windows\SysWOW64\kernel32.dll","SUCCESS",""
"10:52:34,8035405","ryuk.exe","4888","CreateFile","C:\Windows\SysWOW64\KernelBase.dll","SUCCESS","Desired Access: Read Control, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"10:52:34,8035706","ryuk.exe","4888","QuerySecurityFile","C:\Windows\SysWOW64\KernelBase.dll","BUFFER OVERFLOW","Information: Owner"
"10:52:34,8035829","ryuk.exe","4888","QuerySecurityFile","C:\Windows\SysWOW64\KernelBase.dll","SUCCESS","Information: Owner"
"10:52:34,8035936","ryuk.exe","4888","CloseFile","C:\Windows\SysWOW64\KernelBase.dll","SUCCESS",""
"10:52:34,8037408","ryuk.exe","4888","CreateFile","C:\Windows\apppatch\sysmain.sdb","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"10:52:34,8038163","ryuk.exe","4888","QueryStandardInformationFile","C:\Windows\apppatch\sysmain.sdb","SUCCESS","AllocationSize: 4.071.424, EndOfFile: 4.070.602, NumberOfLinks: 2, DeletePending: False, Directory: False"
"10:52:34,8038283","ryuk.exe","4888","QueryStandardInformationFile","C:\Windows\apppatch\sysmain.sdb","SUCCESS","AllocationSize: 4.071.424, EndOfFile: 4.070.602, NumberOfLinks: 2, DeletePending: False, Directory: False"
"10:52:34,8038427","ryuk.exe","4888","CreateFileMapping","C:\Windows\apppatch\sysmain.sdb","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE_READWRITE|PAGE_NOCACHE"
"10:52:34,8038551","ryuk.exe","4888","QueryStandardInformationFile","C:\Windows\apppatch\sysmain.sdb","SUCCESS","AllocationSize: 4.071.424, EndOfFile: 4.070.602, NumberOfLinks: 2, DeletePending: False, Directory: False"
"10:52:34,8038812","ryuk.exe","4888","CreateFileMapping","C:\Windows\apppatch\sysmain.sdb","SUCCESS","SyncType: SyncTypeOther"
"10:52:34,8041851","ryuk.exe","4888","CreateFile","C:\Users\Cuckoo\Downloads\ryuk.exe","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"10:52:34,8042639","ryuk.exe","4888","RegOpenKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders","SUCCESS","Desired Access: Query Value"
"10:52:34,8042927","ryuk.exe","4888","RegSetInfoKey","HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"10:52:34,8043041","ryuk.exe","4888","RegQueryValue","HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders\Cache","SUCCESS","Type: REG_SZ, Length: 116, Data: C:\Users\Cuckoo\AppData\Local\Microsoft\Windows\INetCache"
"10:52:34,8043254","ryuk.exe","4888","RegCloseKey","HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders","SUCCESS",""
"10:52:34,8043505","ryuk.exe","4888","QuerySecurityFile","C:\Users\Cuckoo\Downloads\ryuk.exe","SUCCESS","Information: Owner, Group, DACL, SACL, Label, Attribute, Process Trust Label, 0x100"
"10:52:34,8044682","ryuk.exe","4888","CreateFile","C:\Windows\apppatch\sysmain.sdb","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"10:52:34,8045227","ryuk.exe","4888","QueryBasicInformationFile","C:\Windows\apppatch\sysmain.sdb","SUCCESS","CreationTime: 25/04/2022 10:22:34, LastAccessTime: 25/04/2022 10:52:34, LastWriteTime: 25/04/2022 10:22:34, ChangeTime: 25/04/2022 10:39:09, FileAttributes: A"
"10:52:34,8045455","ryuk.exe","4888","CloseFile","C:\Windows\apppatch\sysmain.sdb","SUCCESS",""
"10:52:34,8045950","ryuk.exe","4888","QueryBasicInformationFile","C:\Users\Cuckoo\Downloads\ryuk.exe","SUCCESS","CreationTime: 25/04/2022 08:00:58, LastAccessTime: 25/04/2022 10:52:34, LastWriteTime: 25/04/2022 10:50:24, ChangeTime: 25/04/2022 10:50:24, FileAttributes: A"
"10:52:34,8046509","ryuk.exe","4888","CloseFile","C:\Users\Cuckoo\Downloads\ryuk.exe","SUCCESS",""
"10:52:34,8048018","ryuk.exe","4888","CreateFile","C:\Users\Cuckoo\Downloads\ryuk.exe","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"10:52:34,8048688","ryuk.exe","4888","RegOpenKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders","SUCCESS","Desired Access: Query Value"
"10:52:34,8049306","ryuk.exe","4888","RegSetInfoKey","HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"10:52:34,8049689","ryuk.exe","4888","RegQueryValue","HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders\Cache","SUCCESS","Type: REG_SZ, Length: 116, Data: C:\Users\Cuckoo\AppData\Local\Microsoft\Windows\INetCache"
"10:52:34,8049909","ryuk.exe","4888","RegCloseKey","HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders","SUCCESS",""
"10:52:34,8050203","ryuk.exe","4888","QuerySecurityFile","C:\Users\Cuckoo\Downloads\ryuk.exe","SUCCESS","Information: Owner, Group, DACL, SACL, Label, Attribute, Process Trust Label, 0x100"
"10:52:34,8050401","ryuk.exe","4888","QueryBasicInformationFile","C:\Users\Cuckoo\Downloads\ryuk.exe","SUCCESS","CreationTime: 25/04/2022 08:00:58, LastAccessTime: 25/04/2022 10:52:34, LastWriteTime: 25/04/2022 10:50:24, ChangeTime: 25/04/2022 10:50:24, FileAttributes: A"
"10:52:34,8050743","ryuk.exe","4888","CloseFile","C:\Users\Cuckoo\Downloads\ryuk.exe","SUCCESS",""
"10:52:34,8053878","ryuk.exe","4888","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value, Enumerate Sub Keys"
"10:52:34,8054173","ryuk.exe","4888","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value, Enumerate Sub Keys"
"10:52:34,8055068","ryuk.exe","4888","RegSetInfoKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"10:52:34,8055275","ryuk.exe","4888","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies","NAME NOT FOUND","Length: 24"
"10:52:34,8055430","ryuk.exe","4888","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS",""
"10:52:34,8062082","ryuk.exe","4888","CloseFile","C:\Windows\apppatch\sysmain.sdb","SUCCESS",""
"10:52:34,8063629","ryuk.exe","4888","ReadFile","C:\Windows\SysWOW64\apphelp.dll","SUCCESS","Offset: 463.872, Length: 32.768, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"10:52:34,8071445","ryuk.exe","4888","CreateFile","C:\Users\Cuckoo\Downloads\ryuk.exe","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"10:52:34,8072956","ryuk.exe","4888","RegOpenKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders","SUCCESS","Desired Access: Query Value"
"10:52:34,8073337","ryuk.exe","4888","RegSetInfoKey","HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"10:52:34,8073671","ryuk.exe","4888","RegQueryValue","HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders\Cache","SUCCESS","Type: REG_SZ, Length: 116, Data: C:\Users\Cuckoo\AppData\Local\Microsoft\Windows\INetCache"
"10:52:34,8073974","ryuk.exe","4888","RegCloseKey","HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders","SUCCESS",""
"10:52:34,8074382","ryuk.exe","4888","QuerySecurityFile","C:\Users\Cuckoo\Downloads\ryuk.exe","SUCCESS","Information: Owner, Group, DACL, SACL, Label, Attribute, Process Trust Label, 0x100"
"10:52:34,8075991","ryuk.exe","4888","CreateFile","C:\Windows\apppatch\sysmain.sdb","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"10:52:34,8077209","ryuk.exe","4888","QueryBasicInformationFile","C:\Windows\apppatch\sysmain.sdb","SUCCESS","CreationTime: 25/04/2022 10:22:34, LastAccessTime: 25/04/2022 10:52:34, LastWriteTime: 25/04/2022 10:22:34, ChangeTime: 25/04/2022 10:39:09, FileAttributes: A"
"10:52:34,8077341","ryuk.exe","4888","CloseFile","C:\Windows\apppatch\sysmain.sdb","SUCCESS",""
"10:52:34,8078242","ryuk.exe","4888","QueryBasicInformationFile","C:\Users\Cuckoo\Downloads\ryuk.exe","SUCCESS","CreationTime: 25/04/2022 08:00:58, LastAccessTime: 25/04/2022 10:52:34, LastWriteTime: 25/04/2022 10:50:24, ChangeTime: 25/04/2022 10:50:24, FileAttributes: A"
